id,host_id,host_name,host_since,host_response_rate,host_listings_count,host_total_listings_count,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
6888107,4485033,Hamlin,25-12-2012,100%,1,1,Seattle,WA,98126,United States,Townhouse,Private room,4,1.5,1,3,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",49,,,250,25,2,25,1,1125,13,97,strict,2.06
3242605,2733106,Jessica,24-06-2012,100%,1,1,Seattle,WA,98136,United States,House,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",60,380,"1,700.00",,,2,10,1,1125,109,94,flexible,5.74
6118198,2355349,Kellie,12-05-2012,100%,1,1,Seattle,WA,98136,United States,House,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Iron,""Laptop Friendly Workspace""}",79,,,,20,1,0,2,1125,23,97,moderate,2.8
189156,179030,Harriet,24-07-2010,100%,1,1,Seattle,WA,98136,United States,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",76,488,"1,650.00",200,50,2,0,2,60,106,96,moderate,2.01
6990677,10918906,Eric,30-12-2013,100%,1,1,Seattle,WA,98136,United States,House,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",110,650,"2,500.00",250,40,2,100,2,1125,18,96,moderate,2.89
8194886,1977631,Amanda,20-03-2012,N/A,1,1,Seattle,WA,98136,United States,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Shampoo}",110,,,,,1,0,2,7,0,,flexible,
8645226,41178788,Ronda,11-08-2015,100%,1,1,Seattle,WA,98136,United States,House,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",59,,,,,1,10,1,1125,11,96,flexible,3.67
859467,4500127,Michael Joseph,26-12-2012,40%,3,3,Seattle,WA,98136,United States,House,Entire home/apt,7,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",195,"1,250.00",,300,75,2,10,1,1125,48,89,strict,1.44
9096972,47428920,Kevin,25-10-2015,100%,1,1,Seattle,WA,98116,United States,House,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",85,"1,100.00","3,000.00",250,50,2,10,1,1125,2,100,flexible,2
1246117,1169181,Steve,16-09-2011,100%,1,1,Seattle,WA,98136,United States,House,Entire home/apt,7,2,3,4,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",200,890,"2,490.00",,95,1,0,2,1125,27,96,moderate,1.75
